kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_count,koi_num_transits,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag
7416306,K05388.01,,CANDIDATE,137.396194,0.525,17.61,155.4,3.38,517.0,16.87,13.2,1,11.0,5425.0,3.704,-0.16,2.655,1.304,280.52133,43.077068,13.668
7416646,K05389.01,,CANDIDATE,365.739893,0.6206,1.218,300.7,1.73,241.0,0.8,4.7,1,,5420.0,4.396,-0.06,0.953,0.825,280.72287,43.065472,12.962
7440715,K05390.01,,CANDIDATE,104.198102,0.3437,3.2,652.2,5.13,497.0,14.46,8.9,1,,5087.0,3.759,-0.34,2.024,0.857,290.50705,43.015041,14.457
7456380,K05391.01,,FALSE POSITIVE,368.72715,0.3411,5.06,426.6,1.55,215.0,0.51,6.4,1,,5401.0,4.569,-0.42,0.749,0.76,295.06079,43.058811,14.598
8395870,K05511.01,,CANDIDATE,74.833577,0.1101,3.247,86.4,1.68,590.0,28.65,6.4,1,,5933.0,3.953,-0.2,1.807,1.07,300.93237,44.34454,12.395
8396288,K05512.01,,CANDIDATE,8.5852872,0.029,2.834,1406.0,3.02,777.0,85.95,11.0,1,32.0,5488.0,4.57,-0.06,0.818,0.913,301.05518,44.306229,16.565
8414914,K05513.01,,FALSE POSITIVE,100.303613,0.388,10.578,488038.0,78.77,421.0,7.41,354.7,1,0.0,6060.0,4.397,-0.18,1.046,0.994,284.52087,44.455078,17.908
8415353,K05514.01,,CANDIDATE,102.100752,0.492,2.009,194.2,2.63,551.0,21.84,5.2,1,,6359.0,4.046,0.04,1.83,1.358,284.7644,44.485004,13.845
8429817,K05515.01,,CANDIDATE,6.263491873,0.048,0.8513,2829.0,6.46,1180.0,458.5,35.1,1,212.0,6247.0,4.255,-0.5,1.194,0.936,291.45227,44.431751,13.952
8432034,K05516.01,,FALSE POSITIVE,0.83620025,0.56,3.7127,331275.0,65.64,1932.0,3299.29,145.4,1,220.0,5780.0,4.438,0.0,1.0,1.0,292.30594,44.459366,20.003
8432249,K05517.01,,CANDIDATE,335.43143,0.4062,10.3,228.1,7.12,468.0,11.31,6.8,1,,5172.0,3.315,-0.16,4.721,1.679,292.39389,44.476212,13.938
