kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_count,koi_num_transits,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,planet,planet_label
9406990,K00937.01,Kepler-733 b,CONFIRMED,20.83426731,0.256,4.0454,988.4,2.74,595.0,29.62,45.1,1,66.0,5537.0,4.549,0.21,0.88,0.999,293.01828,45.914688,15.412,1,confirmed
9415172,K00938.01,Kepler-255 c,CONFIRMED,9.94602357,0.035,3.3862,994.5,3.12,807.0,100.34,51.0,3,131.0,5344.0,4.365,0.16,1.013,0.867,296.06424,45.976841,15.596,1,confirmed
9415172,K00938.02,Kepler-255 d,CONFIRMED,1.04562195,0.037,1.8955,213.0,1.45,1710.0,2031.84,25.3,3,1233.0,5344.0,4.365,0.16,1.013,0.867,296.06424,45.976841,15.596,1,confirmed
9415172,K00938.03,Kepler-255 b,CONFIRMED,5.71462396,0.503,2.336,297.8,1.78,971.0,210.16,16.7,3,192.0,5344.0,4.365,0.16,1.013,0.867,296.06424,45.976841,15.596,1,confirmed
3231341,K01102.02,Kepler-24 b,CONFIRMED,8.14515981,0.965,5.073,446.8,3.43,1050.0,287.91,32.2,4,159.0,5896.0,4.197,-0.36,1.24,0.884,290.41327,38.34375,14.925,1,confirmed
3231341,K01102.03,Kepler-24 e,CONFIRMED,18.9985279,1.3,4.529,430.7,43.17,792.0,93.03,16.9,4,68.0,5896.0,4.197,-0.36,1.24,0.884,290.41327,38.34375,14.925,1,confirmed
3231341,K01102.04,Kepler-24 d,CONFIRMED,4.24439049,0.949,3.282,174.0,2.07,1305.0,686.99,15.1,4,269.0,5896.0,4.197,-0.36,1.24,0.884,290.41327,38.34375,14.925,1,confirmed
2860866,K01103.01,,CANDIDATE,90.1240507,0.698,11.649,3020.3,7.12,485.0,13.09,57.9,1,13.0,6520.0,4.375,0.07,1.215,1.279,293.22391,38.033581,14.96,0,candidate
7626506,K00150.02,Kepler-112 c,CONFIRMED,28.5742692,0.068,4.9427,824.9,2.32,538.0,19.83,97.1,2,46.0,5551.0,4.508,-0.42,0.812,0.776,296.98102,43.209751,13.771,1,confirmed
10460629,K01168.01,,CANDIDATE,856.672115,0.1158,23.144,858.1,3.87,242.0,0.81,39.2,1,,6449.0,4.232,-0.32,1.309,1.063,287.58679,47.600021,13.997,0,candidate
10319385,K01169.01,,CANDIDATE,0.689210173,0.154,1.6169,195.0,1.32,1943.0,3362.71,93.4,1,1945.0,5630.0,4.505,0.36,0.954,1.064,281.55118,47.469959,13.248,0,candidate
10482160,K01170.01,Kepler-1739 b,CONFIRMED,7.34373964,0.185,1.1784,574.4,1.84,839.0,117.5,32.2,1,144.0,5757.0,4.597,-0.5,0.762,0.865,296.23215,47.678959,14.657,1,confirmed
11502218,K00970.01,,CANDIDATE,3.9886021,0.06,1.7376,673.5,34.39,3145.0,23135.72,37.1,1,335.0,4813.0,2.472,-0.22,13.652,2.016,289.09323,49.424484,6.974,0,candidate
11180361,K00971.01,,CANDIDATE,0.533059312,1.263,1.8621,1495.8,133.56,5862.0,277887.7,179.6,1,2003.0,8523.0,3.559,-0.5,4.051,2.166,286.0192,48.866741,7.748,0,candidate
8559644,K00139.01,Kepler-111 c,CONFIRMED,224.7789355,0.652,11.1899,3487.5,7.67,333.0,2.92,235.7,2,7.0,5873.0,4.293,0.18,1.235,1.092,291.65317,44.688271,13.492,1,confirmed
